"vendorpacketid","reworknumber","displaypacketid","vendorname","packagestatus","status","queuename"
57319668,2,"57319668-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57319668,1,"57319668-1",GCIO,COMPLETE,RESOLVED,CM Complete
57322831,2,"57322831-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57322831,1,"57322831-1",GCIO,COMPLETE,RESOLVED,CM Complete
57325013,1,"57325013-1",GCIO,COMPLETE,RESOLVED,CM Complete
57325013,2,"57325013-2",GCIO,PROCESSING,UNRESOLVED,Assignment Field Compensation
57329441,2,"57329441-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57329441,1,"57329441-1",GCIO,COMPLETE,RESOLVED,CM Complete
57356026,2,"57356026-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57356026,1,"57356026-1",GCIO,COMPLETE,RESOLVED,CM Complete
57356133,2,"57356133-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57356133,1,"57356133-1",GCIO,PROCESSING,UNRESOLVED,Assignment Outbound Compensation
57357033,1,"57357033-1",GCIO,COMPLETE,RESOLVED,CM Complete
57357033,2,"57357033-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
57388924,2,"57388924-2",GCIO,PROCESSING,UNRESOLVED,Assignment Field Compensation
57388924,1,"57388924-1",GCIO,PROCESSING,UNRESOLVED,Assignment Outbound Compensation
57396725,1,"57396725-1",GCIO,PROCESSING,UNRESOLVED,Assignment Outbound Pension
57396725,2,"57396725-2",GCIO,DOWNLOAD CONFIRMED,RESOLVED,CM Complete
